frec_min,frec_max,Altura Antena,Azimuth Físico,Azimuth Efectivo,Tilt Mec.,Tilt Eléc.,Twist,Ancho Horiz.,Ganancia
698,960,68,90,90,0,2,0,65,14.281484736364
698,960,68,210,210,0,2,0,65,14.281484736364
698,960,68,338,338,0,2,0,65,14.281484736364
1710,2180,72,90,90,0,2,0,62,16.335407407407
1710,2180,72,210,210,0,2,0,62,16.335407407407
1710,2180,72,338,338,0,2,0,62,16.335407407407
806,960,72,90,92,0,2,0,66,14.01634375
806,960,72,210,212,0,2,0,66,14.01634375
806,960,72,338,340,0,2,0,66,14.01634375
1710,2700,68,90,90,0,2,0,63,17.206999867273
1710,2700,68,210,210,0,2,0,63,17.206999867273
1710,2700,68,338,338,0,2,0,63,17.206999867273
1710,2180,70,90,57,0,2,0,42,15.906666666667
1710,2180,70,210,177,0,2,0,42,15.906666666667
1710,2180,70,338,305,0,2,0,42,15.906666666667
1710,2180,70,90,120,0,2,0,41,15.924848484848
1710,2180,70,210,240,0,2,0,41,15.924848484848
1710,2180,70,338,8,0,2,0,41,15.924848484848
698,960,68,90,90,0,2,0,65,14.281484736364
698,960,68,210,210,0,2,0,65,14.281484736364
698,960,68,338,338,0,2,0,65,14.281484736364
1710,2180,70,90,57,0,2,0,42,15.906666666667
1710,2180,70,210,177,0,2,0,42,15.906666666667
1710,2180,70,338,305,0,2,0,42,15.906666666667
1710,2180,70,90,120,0,2,0,41,15.924848484848
1710,2180,70,210,240,0,2,0,41,15.924848484848
1710,2180,70,338,8,0,2,0,41,15.924848484848
1710,2180,70,90,57,0,2,0,42,15.906666666667
1710,2180,70,210,177,0,2,0,42,15.906666666667
1710,2180,70,338,305,0,2,0,42,15.906666666667
1710,2180,70,90,120,0,2,0,41,15.924848484848
1710,2180,70,210,240,0,2,0,41,15.924848484848
1710,2180,70,338,8,0,2,0,41,15.924848484848
698,896,70,90,60,0,2,0,41,13.4275
698,896,70,210,180,0,2,0,41,13.4275
698,896,70,338,308,0,2,0,41,13.4275
698,896,70,90,118,0,2,0,41,13.436875
698,896,70,210,238,0,2,0,41,13.436875
698,896,70,338,6,0,2,0,41,13.436875
698,896,70,90,60,0,2,0,41,13.4275
698,896,70,210,180,0,2,0,41,13.4275
698,896,70,338,308,0,2,0,41,13.4275
698,896,70,90,118,0,2,0,41,13.436875
698,896,70,210,238,0,2,0,41,13.436875
698,896,70,338,6,0,2,0,41,13.436875
698,960,10,0,0,0,6,0,65,14.281484736364
698,960,10,120,120,0,2,0,65,14.281484736364
698,960,10,240,240,0,2,0,65,14.281484736364
806,960,10,0,0,0,6,0,66,13.8754375
806,960,10,120,120,0,2,0,66,13.8754375
806,960,10,240,240,0,2,0,66,13.8754375
1710,2700,10,0,0,0,6,0,63,17.206999867273
1710,2700,10,120,120,0,2,0,63,17.206999867273
1710,2700,10,240,240,0,2,0,63,17.206999867273
1710,2180,10,0,0,0,6,0,62,16.335407407407
1710,2180,10,120,120,0,2,0,62,16.335407407407
1710,2180,10,240,240,0,2,0,62,16.335407407407
698,960,10,0,0,0,6,0,65,14.281484736364
698,960,10,120,120,0,2,0,65,14.281484736364
698,960,10,240,240,0,2,0,65,14.281484736364
806,960,10,0,0,0,6,0,66,13.8754375
806,960,10,120,120,0,2,0,66,13.8754375
806,960,10,240,240,0,2,0,66,13.8754375
806,960,10,0,0,0,6,0,66,13.8754375
806,960,10,120,120,0,2,0,66,13.8754375
806,960,10,240,240,0,2,0,66,13.8754375
